Ingredients,Description,Categories,Fragrances,Rating
bis-diglyceryl polyacyladipate,Can be extracted from chamomile or derived synthetically. It is an skin-soothing ingredient. ,"Texture Enhancer, Emollients ",N/A,Good
bismuth oxychloride,"Also known as synthetic pearl, it’s the primary ingredient included in most powders that are referred to as... ","Texture Enhancer, Absorbent ",N/A,Average
bis-PEG-18 methyl ether dimethyl silane,A synthetic skin conditioning agent and surfactant belonging to the chemical class of siloxanes and... ,"Silicones, Cleansing Agents, Texture Enhancer, Emollients ",N/A,Good
bis-phenylpropyl dimethicone,"A synthetic, colorless, silicone-based polymer that... ","Silicones, Texture Enhancer ",N/A,Good
bitter orange flower,None,Plant Extracts,Synthetic and Fragrant Plant Extracts ,Poor
blackberry,Berries that have antioxidant properties... ,"Antioxidants, Plant Extracts ",N/A,Best
black cohosh,There is no research showing that black cohosh can have this or any effect… ,Plant Extracts ,N/A,Average
black currant oil,Non-volatile plant oil. ,Plant Extracts ,N/A,Best
black elderberry,"When taken orally, this has antioxidant properties (Source: Journal of Agricultural Food... ","Antioxidants, Plant Extracts ",N/A,Good
black locust extract,"Extract that can have antioxidant properties, although it also may have harmful... ","Antioxidants, Plant Extracts ",N/A,Poor
black mulberry,"Due to its arbutin content, this extract can have some value in improving the look of discolorations.... ",Plant Extracts ,N/A,Good
black pepper extract and oil,It can cause significant skin sensitivity... ,Plant Extracts ,N/A,Poor
black raspberry,Fruit that has antioxidant properties... ,"Antioxidants, Plant Extracts ",N/A,Best
black tea,None,"Skin-Soothing, Plant Extracts, Antioxidants ",N/A,Best
bladderwrack extract,Extract derived from seaweed; it can be an effective antioxidant and has water-binding properties... ,"Antioxidants, Plant Extracts ",N/A,Best
bloodwort,Also known as yarrow. ,Plant Extracts ,N/A,Poor
blue 1,None,Coloring Agents/Pigments ,N/A,Good
blue 1 lake,None,Coloring Agents/Pigments ,N/A,Good
Boerhavia diffusa root extract,Extract from a flowering plant. Animal studies have shown that this plant has strong... ,"Skin-Soothing, Plant Extracts, Antioxidants ",N/A,Best
bois de rose oil,None,Plant Extracts,Synthetic and Fragrant Plant Extracts ,Poor
bois oil,Fragrant oil that has no research showing it has benefit for skin (Source: www.naturaldatabase.com). ,Plant Extracts,Synthetic and Fragrant Plant Extracts ,Poor
borage seed extract,"Extract of the plant Borago officinalis, it can have skni-soothing properties... ","Skin-Soothing, Plant Extracts ",N/A,Best
borage seed oil,Non-fragrant plant oil that contains gamma linolenic acid and other essential fatty acids for skin. ,"Skin-Soothing, Emollients, Antioxidants, Plant Extracts ",N/A,Best
Borago officinalis extract,None,"Skin-Soothing, Antioxidants, Emollients, Plant Extracts ",N/A,Best
Borago officinalis seed oil,None,"Skin-Soothing, Plant Extracts, Emollients, Antioxidants ",N/A,Best
borate,Group of compounds used in cosmetics in small quantities primarily as pH adjusters (they have a pH... ,Preservatives ,N/A,Poor
borax,"Also known as sodium borate decahydrate, borax is a mineral composed of sodium, boron, oxygen, and... ",Preservatives ,N/A,Poor
boric acid,May have skin soothing and restoring benefits… ,Preservatives ,N/A,Good
boron nitride,"Synthetic, inorganic powder, which in cosmetics has absorbent properties similar to those of... ",Absorbent ,N/A,Good
Boswellia carterii,None,Plant Extracts,Synthetic and Fragrant Plant Extracts ,Poor
Boswellia serrata extract,"An extract from the gum resin of a tree and also a source of Indian frankincense, this plant extract has both positive and negative qualities for skin. ",Skin-Soothing,"Synthetic and Fragrant Plant Extracts, Plant Extracts ",Average
botanicals,"General term for a large group of natural ingredients. Botanicals may or may not be organic, and... ",Plant Extracts ,N/A,Average
boysenberry,"Berry that can have potent antioxidant properties (Source: Journal of Agricultural Food Chemistry,... ","Antioxidants, Plant Extracts ",N/A,Best
Brassica campestris,None,"Antioxidants, Emollients ",N/A,Best
Brazil nut extract,Extract for which there is a small amount of research showing it can have antioxidant properties... ,"Antioxidants, Plant Extracts ",N/A,Good
