Ingredients,Description,Categories,Fragrances,Rating
glyceryl dibehanate,A complex mixture of glycerin and the naturally-occurring fatty acid behenic acid. Glyceryl... ,Emollients ,N/A,Good
glyceryl dipalmitate,Used as an emollient and thickening agent in cosmetics. ,"Thickeners/Emulsifiers, Emollients ",N/A,Good
glyceryl distearate,Used as an emollient and thickening agent in cosmetics. ,"Thickeners/Emulsifiers, Emollients ",N/A,Good
glyceryl ester,"Large group of ingredients that are composed of fats and oils. At room temperature, the fats are... ","Thickeners/Emulsifiers, Emollients ",N/A,Good
glyceryl isopalmitate,Used as an emollient and thickening agent in cosmetics. ,"Thickeners/Emulsifiers, Emollients ",N/A,Good
glyceryl isostearate,Used as an emollient and thickening agent in cosmetics. ,"Thickeners/Emulsifiers, Emollients ",N/A,Good
glyceryl myristate,Used as an emollient and thickening agent in cosmetics. ,"Thickeners/Emulsifiers, Emollients ",N/A,Good
glyceryl oleate,Used as an emollient and thickening agent in cosmetics. ,"Thickeners/Emulsifiers, Emollients, Cleansing Agents ",N/A,Good
glyceryl palmitate,Used as an emollient and thickening agent in cosmetics. ,"Thickeners/Emulsifiers, Emollients ",N/A,Good
glyceryl polymethacrylate,A blend of glycerin and polymethacrylic acid that functions as a film-forming agent. It has a... ,"Thickeners/Emulsifiers, Film-Forming/Holding Agents, Texture Enhancer ",N/A,Good
glyceryl rosinate,An ester of long chain acids derived from a plant-based ingredient known as rosin. ,"Emulsifiers, Emollients, Cleansing Agents ",N/A,Good
glyceryl stearate,Used as an emollient and thickening agent in cosmetics. ,"Thickeners/Emulsifiers, Cleansing Agents, Emollients ",N/A,Good
glyceryl stearate SE,Widely used ingredient that is a self-emulsifying (that’s what the “SE” stands for) form of... ,"Thickeners/Emulsifiers, Emollients ",N/A,Good
glycine,None,Skin-Replenishing ,N/A,Good
Glycine soja oil,Oil derived from wild soybeans; it has emollient properties. ,"Plant Extracts, Emollients, Antioxidants ",N/A,Best
Glycine soja seed extract,None,"Plant Extracts, Emollients ",N/A,Best
Glycine soja sterols,"A sterol is a solid complex alcohol derived from animals and plants. In this case, the sterols are... ","Plant Extracts, Emollients ",N/A,Best
glycogen,Polysaccharide that has water-binding properties for skin. ,"Skin-Replenishing, Hydration ",N/A,Good
glycolic acid,"A type of alpha hydroxy acid (AHA) that, like other ingredients in the category, can act as a water-binding agent and, when properly formulated, as an exfoliant... ",Exfoliant ,N/A,Best
glycolipid,Type of lipid composed of sugar (monosaccharide) and fat (lipid) that forms an important component... ,"Thickeners/Emulsifiers, Emollients, Skin-Replenishing ",N/A,Best
glycol stearate,Used as an emollient and thickening agent. ,"Thickeners/Emulsifiers, Emollients ",N/A,Good
glycoproteins,Glycoproteins are a type of peptide naturally present in skin's surface that works with other ingredients to reinforce skin's barrier strength. ,"Skin-Restoring, Hydration ",N/A,Best
glycosaminoglycans,Also known as mucopolysaccharides; these are a fundamental component of skin and are... ,"Skin-Replenishing, Skin-Restoring ",N/A,Best
glycosphingolipid,None,Skin-Replenishing ,N/A,Best
glycyrrhetic acid,Extract from licorice that has skin-soothing properties… ,"Skin-Soothing, Plant Extracts ",N/A,Best
glycyrrhetinic acid,One of the components of licorice root extract... ,"Antioxidants, Skin-Soothing ",N/A,Best
Glycyrrhiza glabra,None,"Skin-Soothing, Plant Extracts ",N/A,Best
Glycyrrhiza uralensis root extract,None,"Skin-Soothing, Plant Extracts ",N/A,Best
goji fruit extract,None,"Antioxidants, Plant Extracts ",N/A,Good
gold,An ingredient that seems luxe and helpful but is actually a frequent contact sensitizer… ,"Sensitizing, Miscellaneous ",N/A,Poor
Gossypium herbacuem seed oil,"Also known as cotton seed oil, this non-fragrant plant oil may cause... ",Plant Extracts ,N/A,Good
gotu kola,None,"Plant Extracts, Antioxidants ",N/A,Best
grapefruit oil,Citrus oil whose volatile components (chiefly substances known as furocoumarins) are sensitizing... ,Plant Extracts,"Synthetic and Fragrant Plant Extracts, Sensitizing ",Poor
grapefruit peel extract,Typically listed as citrus grandis (grapefruit) peel extract on the ingredient list... ,"Sensitizing, Plant Extracts ",N/A,Poor
grapefruit seed extract,"Labelled as Citrus paradisi (grapefruit) seed extract, this is often claimed as a natural preservative... ",Uncategorized ,N/A,Poor
grape seed extract,Grape seed extract has been shown to help diminish free-radical damage… ,"Antioxidants, Plant Extracts ",N/A,Best
grape seed oil,"Emollient, non-fragrant plant oil that also has excellent antioxidant properties... ","Antioxidants, Plant Extracts, Emollients ",N/A,Best
green tea,"Significant amounts of research have established that tea, including black, green, and white tea... ","Skin-Soothing, Antioxidants, Plant Extracts ",N/A,Best
gromwell,None,"Skin-Soothing, Plant Extracts, Antioxidants ",N/A,Best
guarana,Herb that contains two and a half times more caffeine than coffee. It can have constricting... ,"Plant Extracts, Sensitizing ",N/A,Poor
guar gum,Plant-derived thickening agent... ,"Plant Extracts, Thickeners/Emulsifiers ",N/A,Good
guar hydroxypropyltrimonium chloride,None,"Thickeners/Emulsifiers, Texture Enhancer, Miscellaneous ",N/A,Good
guava,"Guava extract is a rich source of bioactive antioxidants including gallic acid, quercetin, and tocopherol. ","Antioxidants, Plant Extracts ",N/A,Best
gums,"Substances that have water-binding properties, but that are used primarily as thickening agents in... ","Plant Extracts, Film-Forming/Holding Agents, Texture Enhancer ",N/A,Good
Haematococcus pluvialis extract,None,"Antioxidants, Plant Extracts ",N/A,Best
Hamamelis virginiana,None,"Antioxidants, Sensitizing, Plant Extracts ",N/A,Poor
hamamelitannin,Tannin that is found in witch hazel. It can be a skin sensitizer but it also has antioxidant... ,"Antioxidants, Sensitizing ",N/A,Poor
Haslea ostrearia extract,Extract derived from a water plant also known as blue algae. In pure concentrations this extract... ,"Antioxidants, Emollients, Texture Enhancer, Thickeners/Emulsifiers, Plant Extracts ",N/A,Good
hayflower extract,"Plant extract that, due to its constricting effect on skin, can be sensitizing There is no... ","Plant Extracts, Sensitizing ",N/A,Poor
hazelnut oil,Oil extracted from the hazelnut and that is used as an emollient. ,Emollients ,N/A,Good
hectorite,"A type of clay used in cosmetics that enhances texture by imparting a smooth, silky feel. ",Texture Enhancer ,N/A,Good
Hedera helix,None,"Plant Extracts, Sensitizing ",N/A,Poor
hedione,"Synthetic fragrant component in products, which also can be a skin sensitizer. ",,"Synthetic and Fragrant Plant Extracts, Sensitizing ",Poor
Helianthus annuus seed oil,None,"Plant Extracts, Emollients ",N/A,Best
Helianthus oil,None,"Plant Extracts, Emollients ",N/A,Best
hemp seed oil,"From the hemp plant, Cannabis sativa. Because both hemp and marijuana are from the genus Cannabis,... ","Plant Extracts, Emollients ",N/A,Good
hesperidin,Flavonoid found in various plants such as citrus and evening primrose oil. It has potential as a... ,"Antioxidants, Plant Extracts ",N/A,Best
hesperidin methyl chalcone,Citrus bioflavonoid often seen in products claiming to improve dark undereye circles. There is... ,"Antioxidants, Plant Extracts ",N/A,Good
hexanoyl dipeptide-3 norleucine acetate,Hexanoyl dipeptide-3 norleucine acetate is a synthetic peptide that helps skin’s surface shed properly and speeds up surface renewal for fresher-looking skin. ,Skin-Restoring ,N/A,Best
hexyl cinnamal,A fragrance ingredient used in many perfumes and often seen in fragranced skincare products... ,,"Synthetic and Fragrant Plant Extracts, Sensitizing ",Poor
hexyldecanol,"A synthetic, non-drying fatty alcohol used as an emollient and skin-conditioning agent. ","Emollients, Skin-Softening ",N/A,Good
hexylene glycol,None,Slip Agents ,N/A,Good
hexyl laurate,Skin-softening agent and emollient that is a mixture of hexyl alcohol and lauric acid. ,"Emollients, Skin-Softening ",N/A,Good
hexylresorcinol,A synthetic ingredient that has been shown to have skin brightening ability but there is very limited research about it on skin... ,Antioxidants ,N/A,Average
hibiscus,Fragrant plant ,"Antioxidants, Skin-Restoring, Plant Extracts ",N/A,Good
Himanthalia elongate extract,Extract of a species of algae. ,"Antioxidants, Plant Extracts, Thickeners/Emulsifiers, Emollients ",N/A,Good
Hippophae rhamnoides,None,"Antioxidants, Plant Extracts ",N/A,Good
histidine,None,Antioxidants ,N/A,Good
hoelen,A mushroom that grows underground on the roots of pines and other trees around the world. It has... ,"Plant Extracts, Preservatives ",N/A,Best
homosalate,FDA-approved sunscreen active ingredient that primarily provides UVB protection. Its UVA range is... ,Sunscreen Actives ,N/A,Best
honey,Substance produced by bees from the nectar of flowering plants. Composed primarily of the... ,"Skin-Soothing, Vitamins, Antioxidants ",N/A,Best
honey extract,None,"Skin-Soothing, Antioxidants, Vitamins ",N/A,Best
honeysuckle flower extract,Plant extract that functions as a soothing agent. It is a very good source of flavonoids... ,"Skin-Soothing, Plant Extracts ",N/A,Best
hops,"There is no research showing that hops have any benefit for skin. However, components in hops may... ","Antioxidants, Plant Extracts ",N/A,Average
Hordeum vulgare extract,None,"Antioxidants, Plant Extracts ",N/A,Average
horse chestnut extract,May have soothing properties for skin... ,"Skin-Soothing, Plant Extracts ",N/A,Good
horse elder,None,"Plant Extracts, Sensitizing ",N/A,Poor
horseradish,Plant that can sensitize skin and should never be applied to abraded skin. ,"Plant Extracts, Sensitizing ",N/A,Poor
horsetail extract,"Plant extract that has antioxidant and soothing properties, but there's no solid research showing it can and does exert these effects... ","Antioxidants, Plant Extracts ",N/A,Average
Hortonia floribunda leaf extract,No research shows this plant as having any benefit for skin although it and other plant components... ,Plant Extracts ,N/A,Average
Huang qi,None,"Antioxidants, Plant Extracts ",N/A,Good
Humulus lupulus extract,None,"Plant Extracts, Antioxidants ",N/A,Average
hyaluronic acid,Component of skin that is used in skincare products as a good restorative ingredient.... ,"Antioxidants, Skin-Replenishing, Skin-Restoring ",N/A,Best
Hydnocarpus anthelmintica,None,"Plant Extracts, Sensitizing ",N/A,Poor
Hydrastis canadenis,None,"Plant Extracts, Sensitizing ",N/A,Poor
hydrocotyl extract,None,Plant Extracts ,N/A,Best
hydrogenated coco-glyceride,Used as an emollient and thickening agent in cosmetics. ,"Thickeners/Emulsifiers, Texture Enhancer, Emollients ",N/A,Good
hydrogenated didecene,"Skin-conditioning agent derived from didecene, which is a hydrocarbon. Hydrocarbons are organic... ","Thickeners/Emulsifiers, Texture Enhancer ",N/A,Good
hydrogenated lecithin,None,"Skin-Restoring, Emollients ",N/A,Best
hydrogenated olive oil,"When a plant oil is hydrogenated, it is chemically converted gas from a liquid to a semi-solid or... ","Antioxidants, Plant Extracts, Emollients ",N/A,Best
hydrogenated palm glycerides,"Palm glycerides are the fatty acid component of palm oil. When a plant oil is hydrogenated, it is... ","Antioxidants, Skin-Replenishing, Emollients ",N/A,Good
hydrogenated polydecene,Synthetic polymer that functions as an emollient and skin-conditioning agent. ,Emollients ,N/A,Good
hydrogenated polyisobutene,Synthetic polymer used as a skin-conditioning agent and emollient. ,"Emollients, Skin-Softening ",N/A,Good
hydrogenated soybean oil,Non-fragrant plant oil from soy that has been hydrogenated so it retains a semi-solid rather than liquid state. ,"Antioxidants, Emollients ",N/A,Best
hydrogenated starch hydrolysate,"The end product of hydrolyzing starch, a polysaccharide carbohydrate...","Film-Forming/Holding Agents, Hydration ",N/A,Good
hydrogenated vegetable glycerides citrate,A hydrogenated blend of vegetable glycerides that functions chiefly as an emollient and emulsifier in cosmetics... ,"Emollients, Emulsifiers, Texture Enhancer ",N/A,Good
hydrogen peroxide,There is a great deal of current research showing that hydrogen peroxide is problematic as a... ,Sensitizing ,N/A,Poor
hydrolyzed acacia macrostachya seed extract,"The extract from the seed of the Acacia macrostachya plant, a tropical shrub. ","Antioxidants, Plant Extracts ",N/A,Good
hydrolyzed corn starch,"A form of the natural absorbent corn starch that has been hydrolyzed, which means it has undergone... ",Absorbent ,N/A,Good
hydrolyzed glycosaminoglycans,"A skin-restorative ingredient that has been hydrolyzed, which is a chemical process involving the... ","Skin-Replenishing, Skin-Softening ",N/A,Best
hydrolyzed jojoba esters,"Essential fatty acids from the jojoba plant, broken down by water to form a new complex with... ","Plant Extracts, Emollients, Skin-Softening ",N/A,Best
hydrolyzed jojoba protein,"Protein fraction of seeds from the jojoba plant that has been hydrolyzed, which is a chemical... ","Plant Extracts, Emollients ",N/A,Good
hydrolyzed silk,None,"Antioxidants, Slip Agents ",N/A,Good
hydrolyzed soy protein,None,"Skin-Soothing, Antioxidants, Plant Extracts ",N/A,Best
hydrolyzed vegetable protein,Composed of various protein substances derived from vegetables and broken down by water to form a... ,"Miscellaneous, Hydration ",N/A,Good
hydrolyzed wheat protein,"Protein fraction from wheat that has been hydrolyzed, which is a chemical process involving the... ","Plant Extracts, Film-Forming/Holding Agents, Texture Enhancer ",N/A,Good
hydroquinone,Hydroquinone has long been established as the most effective ingredient for reducing brown spots. ,"Skin-Restoring, Antioxidants ",N/A,Best
hydroxyethyl acrylate/sodium acryloyl dimethyl taurate copolymer,"A polymer that functions as a stabilizer, thickening agent, and opacifying agent. ","Thickeners/Emulsifiers, Texture Enhancer ",N/A,Good
hydroxyethylcellulose,Plant-derived thickening agent typically used as a binding agent or emulsifier. Also used (most... ,"Plant Extracts, Film-Forming/Holding Agents, Texture Enhancer, Thickeners/Emulsifiers ",N/A,Good
hydroxyethylpiperazine ethane sulfonic acid,"Also known by the acronym HEPES, hydroxyethylpiperazine ethane sulfonic acid is a buffering ingredient typically used to... ",Miscellaneous ,N/A,Poor
